GCA_000251025.1 Salmonella_enterica
GCA_000760815.1 Rhodococcus_B_fascians
GCA_001598835.1 Vibrio_fluvialis
GCA_000010605.1 Streptomyces_[californicus,anulatus,parvus,rubiginosohelvolus,griseus,globisporus]
GCA_000060285.1 Listeria_welshimeri
GCA_000204115.1 Aeromonas_veronii
GCA_001272835.1 Mycoplasmoides_pneumoniae
GCA_000008725.1 Chlamydia_trachomatis
GCA_000235805.2 Pediococcus_acidilactici
GCA_000196695.1 Rhodococcus_hoagii
GCA_000174735.1 Staphylococcus_hominis
GCA_000373325.1 Rhizobium_leguminosarum
GCA_000208825.1 Aeromonas_caviae
GCA_000191145.1 Acinetobacter_pittii
GCA_000009125.1 Ralstonia_pseudosolanacearum
GCA_000148935.1 Pantoea_agglomerans
GCA_000091765.1 Lactobacillus_crispatus
GCA_000011825.1 Streptococcus_thermophilus
GCA_000003925.1 Bacillus_A_mycoides
GCA_000027145.1 Listeria_seeligeri
GCA_000010625.1 Microcystis_[panniformis,aeruginosa,sp002282935,wesenbergii]
GCA_000010125.1 Staphylococcus_saprophyticus
GCA_000015085.1 Campylobacter_fetus
GCA_000158015.1 Bifidobacterium_breve
GCA_000257185.1 Vibrio_anguillarum
GCA_902167755.1 Prevotella_copri
GCA_000165775.3 Lactobacillus_helveticus
GCA_000265565.1 Xanthomonas_phaseoli
GCA_000064305.2 Flavobacterium_psychrophilum
GCA_000257865.1 Streptococcus_mitis
GCA_000263775.1 Staphylococcus_capitis
GCA_000690555.2 Pseudomonas_E_[mandelii,syringae]
GCA_000018045.1 Citrobacter_B_koseri
GCA_000025405.2 Pantoea_ananatis
GCA_000466645.1 Campylobacter_concisus
GCA_000013965.1 Leptospira_borgpetersenii
GCA_000020605.1 Agathobacter_rectalis
GCA_000355635.2 Xanthomonas_arboricola
GCA_000424085.1 Blautia_wexlerae
GCA_000696815.1 Staphylococcus_chromogenes
GCA_000350465.1 Enterococcus_B_durans
GCA_000144675.2 Corynebacterium_pseudotuberculosis
GCA_000413875.1 Acinetobacter_indicus
GCA_000816225.1 Campylobacter_D_concheus
GCA_000383335.1 Klebsiella_aerogenes
GCA_001598875.1 Shewanella_algae
GCA_000197855.1 Ralstonia_solanacearum
GCA_000393915.1 Enterococcus_D_casseliflavus
GCA_000013045.1 Salinibacter_ruber
GCA_000195105.1 Pseudomonas_A_stutzeri
GCA_000010705.1 Streptococcus_dysgalactiae
GCA_000508145.1 Bacillus_altitudinis
GCA_000194805.1 Pseudomonas_E_[fluorescens,brassicacearum,kilonensis]
GCA_000164965.1 Bifidobacterium_bifidum
GCA_000023205.1 Micrococcus_luteus
GCA_014648935.1 Streptomyces_albidoflavus
GCA_000497855.1 Proteus_[cibarius,penneri,vulgaris,sp003144505]
GCA_000620505.1 Sulfitobacter_C_pseudonitzschiae
GCA_000185905.1 Mesorhizobium_ciceri
GCA_018685415.1 Polynucleobacter_paneuropaeus
GCA_000281915.1 Pseudomonas_E_chlororaphis_F
GCA_000161455.1 Bacillus_A_pseudomycoides
GCA_000219745.1 Achromobacter_xylosoxidans
GCA_000301695.1 Acinetobacter_nosocomialis
GCA_000006725.1 Xylella_fastidiosa
GCA_000297475.1 Burkholderia_stagnalis
GCA_000191405.1 Haemophilus_parainfluenzae
GCA_000160595.1 Leuconostoc_mesenteroides
GCA_000016965.1 Clostridium_beijerinckii
GCA_000621265.1 Pseudomonas_E_fulva
GCA_900097955.1 Staphylococcus_urealyticus
GCA_000021885.1 Glaesserella_parasuis
GCA_000021425.1 Bifidobacterium_animalis
GCA_000507765.1 Streptococcus_parasanguinis_B
GCA_000012265.1 Pseudomonas_E_protegens
GCA_000277895.2 Xanthomonas_vasicola
GCA_000159215.1 Limosilactobacillus_fermentum
GCA_000169475.1 Ruminococcus_B_gnavus
GCA_000350565.1 Pseudomonas_E_[veronii,fluorescens,marginalis]
GCA_000158055.1 Providencia_rettgeri_D
GCA_000307435.1 Parabacteroides_distasonis
GCA_002895535.1 Raoultella_ornithinolytica
GCA_000454045.1 Rhodococcus_qingshengii
GCA_000367425.1 Raoultella_ornithinolytica
GCA_000252995.1 Salmonella_bongori
GCA_000211295.1 Mesomycoplasma_hyorhinis
GCA_000300915.1 Streptococcus_iniae
GCA_000321085.1 Staphylococcus_warneri
GCA_000341465.2 Bordetella_holmesii
GCA_000803085.1 Pseudoalteromonas_[distincta,arctica,fuliginea]
GCA_000183155.1 Riemerella_anatipestifer
GCA_000012445.1 Pseudomonas_E_[sp001655595,glycinae,sp002112885,fluorescens,kribbensis]
GCA_000525995.1 Listeria_A_booriae
GCA_000257455.1 Streptococcus_oralis
GCA_000284055.1 Rickettsia_rickettsii
GCA_000512275.1 Pseudomonas_E_[sp005233515,koreensis,granadensis]
GCA_000011065.1 Bacteroides_thetaiotaomicron
GCA_000016265.1 Rhizobium_rhizogenes
GCA_000014205.1 Streptococcus_sanguinis
GCA_000401515.2 Piscirickettsia_salmonis
GCA_000239955.2 Weissella_confusa
GCA_000304595.1 Agrobacterium_pusense
GCA_000014465.1 Levilactobacillus_brevis
GCA_000439915.1 Lactobacillus_gasseri
GCA_000820065.1 Aeromonas_salmonicida
GCA_900114525.1 Streptococcus_lutetiensis
GCA_000277125.1 Mycobacterium_intracellulare
GCA_000146265.4 Aggregatibacter_actinomycetemcomitans
GCA_905201925.1 Fusicatenibacter_saccharivorans
GCA_900291485.1 Ruminococcus_E_bromii_B
GCA_000687595.1 Bifidobacterium_globosum
GCA_002294765.1 Mesorhizobium_sp002294985
GCA_000069225.1 Clavibacter_michiganensis
GCA_000196335.1 Corynebacterium_glutamicum
GCA_000332875.2 Anaerostipes_hadrus
GCA_000477455.1 Staphylococcus_simulans
GCA_000012845.1 Parabacteroides_distasonis
GCA_000242295.1 Haemophilus_haemolyticus
GCA_000017005.1 Streptococcus_gordonii
GCA_000385945.1 Streptomyces_[bacillaris,microflavus,cyaneofuscatus,sp003116725]
GCA_000154105.1 Parabacteroides_merdae
GCA_000156995.2 Pseudomonas_E_tremae
GCA_000007145.1 Xanthomonas_campestris
GCA_000154365.1 Enterocloster_clostridioformis
GCA_000735515.1 Leclercia_adecarboxylata
GCA_004961265.1 Mesorhizobium_muleiense
GCA_000282455.1 Pseudomonas_E_[jessenii,fluorescens,laurylsulfatiphila]
GCA_000014505.1 Pediococcus_pentosaceus
GCA_000157255.1 Enterococcus_D_gallinarum
GCA_000154525.1 Bacteroides_stercoris
GCA_000186545.1 Streptococcus_anginosus
GCA_001466835.1 Pseudomonas_E_[fluorescens,salomonii,trivialis,edaphica,antarctica,sp003014915]
GCA_000338275.1 Staphylococcus_xylosus
GCA_018379415.1 Akkermansia_sp004167605
GCA_000169015.1 Bacteroides_caccae
GCA_001632805.1 Mycobacterium_chelonae
GCA_000173655.1 Corynebacterium_amycolatum_A
GCA_000007065.1 Methanosarcina_mazei
GCA_000297195.3 Pseudomonas_E_sp002874965
GCA_000466565.1 Blautia_A_massiliensis
GCA_000024265.1 Eggerthella_lenta
GCA_000011805.1 Aliivibrio_fischeri
GCA_000009425.1 Lactococcus_lactis_E
GCA_000622345.1 Sulfitobacter_mediterraneus
GCA_000474725.1 Mesorhizobium_wenxiniae
GCA_000242815.2 Janthinobacterium_[lividum,sp001758725,svalbardensis]
GCA_000265445.1 Paenibacillus_polymyxa
GCA_000276585.1 Pseudomonas_E_[sp001297015,sp900187515,fluorescens,sp002754355]
GCA_000011025.1 Rothia_mucilaginosa
GCA_000025085.1 Staphylococcus_lugdunensis
GCA_013417465.1 Acinetobacter_sp002018365
GCA_001598395.1 Sphingomonas_koreensis
GCA_000009545.1 Streptococcus_uberis
GCA_000154485.1 Erysipelatoclostridium_ramosum
GCA_012985595.1 Pseudomonas_E_[fluorescens,proteolytica,gessardii,brenneri]
GCA_000173755.1 Yersinia_ruckeri
GCA_000007585.1 Porphyromonas_gingivalis
GCA_000162075.1 Acinetobacter_junii
GCA_000349565.1 Curtobacterium_flaccumfaciens
GCA_008080425.1 Raoultella_terrigena
GCA_003968865.1 Staphylococcus_coagulans
GCA_900094325.1 Xanthomonas_translucens
GCA_001436015.1 Ligilactobacillus_murinus
GCA_001544155.1 Ralstonia_pickettii
GCA_000008065.1 Lactobacillus_johnsonii
GCA_000369885.1 Acinetobacter_ursingii
GCA_001277235.1 Cronobacter_dublinensis
GCA_000269945.1 Lactococcus_petauri
GCA_000349865.1 Agrobacterium_deltaense
GCA_900168365.1 Clostridium_chauvoei
GCA_006439485.1 Mesorhizobium_sp006442685
GCA_000376745.1 Xanthomonas_fragariae
GCA_905199175.1 Ruminococcus_D_bicirculans
GCA_000633275.1 Lysinibacillus_fusiformis
GCA_000280885.2 Vibrio_breoganii
GCA_000018665.1 Comamonas_acidovorans
GCA_001276105.1 Citrobacter_A_amalonaticus
GCA_903850415.1 Geothrix_sp903857495
GCA_000162115.1 Acinetobacter_radioresistens
GCA_000022105.1 Brachyspira_hyodysenteriae
GCA_001983175.1 Pseudomonas_orientalis
GCA_000371625.1 Clostridium_butyricum
GCA_000520835.1 Chryseobacterium_indologenes
GCA_000019125.1 Pseudomonas_putida
GCA_000342345.1 Streptomyces_[griseoincarnatus,cellulosae,althioticus,pseudogriseolus,albogriseolus]
GCA_000155875.1 Bariatricus_comes
GCA_903856935.1 Chlorobium_sp005843835
GCA_000513495.2 Staphylococcus_cohnii
GCA_002984195.1 Providencia_rettgeri_A
GCA_902775065.1 Ruminococcus_E_sp900317315
GCA_000024945.1 Veillonella_parvula_A
GCA_000011985.1 Lactobacillus_acidophilus
GCA_000026025.1 Chlamydophila_abortus
GCA_000176375.1 Vibrio_[metoecus,mimicus]
GCA_003215615.1 Helicobacter_C_cinaedi
GCA_000210035.1 Mediterraneibacter_faecis
GCA_001931095.1 Histophilus_somni
GCA_000292795.1 Pseudomonas_E_[koreensis,putida,fluorescens]
GCA_000176155.1 Vibrio_metschnikovii
GCA_000273235.1 Bacteroides_salyersiae
GCA_000073005.1 Wolbachia_pipientis_C
GCA_003942775.1 Streptococcus_mitis
GCA_900092635.1 Lactiplantibacillus_pentosus
GCA_000164055.1 Acinetobacter_haemolyticus
GCA_000154385.1 Faecalibacterium_prausnitzii
GCA_000270165.1 Streptococcus_[gallolyticus,pasteurianus,macedonicus]
GCA_000444095.1 Paraclostridium_sordellii
GCA_000473995.1 Clostridium_saccharobutylicum
GCA_000785385.1 Peribacillus_frigoritolerans
GCA_000010585.1 Macrococcus_B_caseolyticus
GCA_000787395.1 GCF-000787395_sp000787395
GCA_000368505.1 Acinetobacter_bereziniae
GCA_000012285.1 Sulfolobus_acidocaldarius
GCA_000283375.1 Kingella_kingae
GCA_000224985.1 Ligilactobacillus_ruminis
GCA_009931335.1 Chlamydia_suis
GCA_000259175.1 Providencia_stuartii
GCA_000273015.1 Bacteroides_cellulosilyticus
GCA_000173955.1 Neisseria_subflava
GCA_000026065.1 Latilactobacillus_sakei
GCA_000517305.1 Pseudomonas_cichorii
GCA_001536305.1 Leuconostoc_inhae
GCA_001042525.2 Francisella_orientalis
GCA_000069785.1 Cupriavidus_taiwanensis
GCA_000193205.1 Aerococcus_urinae_D
GCA_003024685.1 Faecalibacillus_intestinalis
GCA_000298475.2 Chlamydophila_psittaci
GCA_000297455.1 Staphylococcus_equorum
GCA_903829545.1 Gallionella_sp903885165
GCA_000085865.1 Metamycoplasma_hominis
GCA_000175915.1 Moraxella_A_cinereus
GCA_000147055.1 Dickeya_solani
GCA_000017405.1 Ochrobactrum_anthropi
GCA_000467915.2 Streptococcus_sobrinus
GCA_000167975.1 Yersinia_[mollaretii,bercovieri,aleksiciae]
GCA_000007765.2 Coxiella_burnetii
GCA_000368805.1 Acinetobacter_johnsonii
GCA_000611895.1 Enterococcus_mundtii
GCA_000155815.1 Bacteroides_eggerthii
GCA_000612245.1 Ochrobactrum_intermedium
GCA_000187895.1 Phocaeicola_plebeius_A
GCA_000297755.1 Bacteroides_fragilis_A
GCA_000476315.1 Serratia_A_fonticola
GCA_000379745.1 Enterococcus_E_cecorum
GCA_000371425.1 Clostridium_AQ_innocuum
GCA_000162035.1 Acinetobacter_oleivorans
GCA_000764735.1 Citrobacter_A_amalonaticus
GCA_000988325.1 Sphingobacterium_multivorum
GCA_008634025.1 Streptomyces_rimosus
GCA_000168855.1 Comamonas_thiooxydans
GCA_000165635.2 Bifidobacterium_vaginale
GCA_000014025.1 Aliarcobacter_butzleri
GCA_002932215.1 Rathayibacter_sp002930885
GCA_000203835.1 Streptomyces_anthocyanicus
GCA_000365305.1 Dickeya_dianthicola
GCA_000368785.1 Acinetobacter_towneri
GCA_007828675.1 Rhizobium_sp900469175
GCA_000367325.1 Elizabethkingia_meningoseptica
GCA_000156715.1 Francisella_philomiragia
GCA_002091615.1 Pseudomonas_E_fragi
GCA_000193635.2 Weissella_cibaria
GCA_902497515.1 Thiodubiliella_sp001298715
GCA_000543365.1 Stenotrophomonas_indicatrix
GCA_000190535.1 Odoribacter_splanchnicus
GCA_000011445.1 Mycoplasma_capri
GCA_000262225.1 Fusobacterium_C_necrophorum
GCA_000144405.1 Prevotella_melaninogenica
GCA_000160015.1 Veillonella_dispar_A
GCA_000024445.1 Bifidobacterium_dentium
GCA_002549855.1 Faecalibacterium_prausnitzii_C
GCA_000176795.1 Photobacterium_damselae
GCA_000600005.1 Snodgrassella_alvi
GCA_000621225.1 Pseudomonas_E_[soli,mosselii,sp001259595]
GCA_001020705.1 Pseudomonas_E_lundensis
GCA_000702605.1 Exiguobacterium_A_indicum
GCA_007991235.1 Pseudoalteromonas_tetraodonis
GCA_000162095.1 Acinetobacter_[mesopotamicus,lwoffii,idrijaensis]
GCA_001634365.1 Paraburkholderia_[aspalathi]
GCA_000258445.1 Streptococcus_intermedius
GCA_000580795.1 Acinetobacter_variabilis
GCA_000153905.1 Blautia_A_obeum
GCA_000834215.1 Yersinia_kristensenii
GCA_011650445.1 Streptomyces_olivaceus
GCA_000010805.1 Rhodococcus_opacus
GCA_000763495.1 Listeria_ivanovii
GCA_019835495.1 Rhodococcus_C_sp000686025
GCA_000279165.1 Pseudomonas_A_nitrititolerans
GCA_000429885.1 Dermatophilus_congolensis
GCA_004017535.1 Mesorhizobium_sp003952425
GCA_003732225.1 Pseudomonas_E_fluorescens_E
GCA_000169235.1 Dorea_formicigenerans
GCA_000091725.1 Propionibacterium_freudenreichii
GCA_000299995.1 Alteromonas_macleodii
GCA_000009785.1 Geobacillus_thermoleovorans
GCA_000024645.1 Pectobacterium_parmentieri
GCA_000239295.1 Flavonifractor_plautii
GCA_000154065.1 Dorea_A_longicatena
GCA_000295715.1 Staphylococcus_arlettae
GCA_000221945.4 Avibacterium_paragallinarum
GCA_000246395.2 Leptospira_santarosai
GCA_000404045.1 Azospirillum_brasilense
GCA_000027205.1 Erwinia_amylovora
GCA_000018345.1 Mycobacterium_marinum
GCA_000744255.1 Carnobacterium_divergens
GCA_000009805.1 Nocardia_farcinica
GCA_000149125.2 Lactobacillus_iners
GCA_001643955.1 Campylobacter_hyointestinalis
GCA_000495505.1 Campylobacter_testudinum
GCA_000368705.1 Acinetobacter_soli
GCA_000187005.1 Thermus_scotoductus
GCA_003434585.1 Ruthenibacterium_lactatiformans
GCA_000267545.1 Pseudomonas_A_[kunmingensis,xanthomarina,sp002692525,chloritidismutans,stutzeri]
GCA_903935355.1 Polynucleobacter_sp903935355
GCA_903909215.1 CAIVUX01_sp903909215
GCA_018379085.1 Phytobacter_diazotrophicus
GCA_000599985.1 Gilliamella_apicola
GCA_000025685.1 Haloferax_volcanii
GCA_000425325.1 Rathayibacter_toxicus
GCA_003269115.1 Ensifer_adhaerens
GCA_000236825.2 Pseudomonas_B_oryzihabitans
GCA_000505565.1 Xanthomonas_hortorum_A
GCA_000020265.1 Rhizobium_phaseoli
GCA_000146875.2 Paenibacillus_polymyxa_B
GCA_000145235.1 Micromonospora_chalcea
GCA_000240075.2 Flavobacterium_columnare
GCA_000009825.1 Bacillus_H_rhizosphaerae
GCA_004357905.1 Campylobacter_D_lari_D
GCA_009866445.1 Pantoea_dispersa
GCA_000007625.1 Clostridium_G_tetani
GCA_000416965.1 Exiguobacterium_[chiriqhucha,mexicanum]
GCA_903838445.1 Chlorobium_sp903895195
GCA_000718705.1 Streptomyces_cinnamonensis
GCA_000429385.1 Alcaligenes_faecalis
GCA_000166035.1 Faecalibacterium_prausnitzii_D
GCA_011319765.1 Pseudoalteromonas_[lipolytica,gelatinilytica,sp013349995,shioyasakiensis,sp002685175,sp002684115]
GCA_018912905.1 Arcanobacterium_phocae
GCA_002885025.1 Akkermansia_muciniphila_B
GCA_000215645.1 Corynebacterium_ulcerans
GCA_001690175.1 Gilliamella_apis
GCA_016756695.1 Heyndrickxia_sporothermodurans
GCA_003668715.1 Hafnia_alvei
GCA_000710785.1 Pseudomonas_E_juntendi
GCA_000165925.1 Bacillus_atrophaeus
GCA_009665215.1 Vibrio_navarrensis
GCA_000502715.1 Mesorhizobium_sp000502715
GCA_903849105.1 CAINMN01_sp903838355
GCA_903834135.1 CAIOZY01_sp903834135
GCA_003040965.1 Staphylococcus_agnetis
GCA_002138755.1 Campylobacter_sp002139915
GCA_000424045.1 Streptococcus_equinus
GCA_000220255.1 Prevotella_pallens
GCA_000471685.1 Bordetella_hinzii
GCA_000507105.1 Bacillus_halotolerans
GCA_000519105.1 Butyricimonas_[virosa,paravirosa,faecihominis]
GCA_000382005.1 Pseudoalteromonas_[piscicida,elyakovii,sp002850255]
GCA_000231365.2 Fischerella_thermalis
GCA_010026555.1 UBA3064_sp002342365
GCA_903822915.1 UBA2262_sp903869265
GCA_000153265.1 Photobacterium_angustum
GCA_900624825.1 Parabacteroides_goldsteinii
GCA_000720675.1 Streptomyces_rochei
GCA_900177695.1 Rhodococcus_pyridinivorans
GCA_000243615.3 Leptospira_kirschneri
GCA_011212705.1 Vibrio_coralliilyticus
GCA_000445425.4 Borrelia_miyamotoi
GCA_000016525.1 Methanobrevibacter_A_smithii
GCA_000196295.1 Neisseria_lactamica
GCA_000223355.2 Actinomyces_oris
GCA_016812275.1 Flavimaricola_sp004000435
GCA_000146305.1 Edwardsiella_piscicida
GCA_000015885.1 Actinobacillus_lignieresii
GCA_903934245.1 GCA-2737125_sp903960135
GCA_903813745.1 Thiodubiliella_sp900128405
GCA_000475475.1 Helicobacter_pylori_A
GCA_016814605.1 Sulfitobacter_geojensis
GCA_000317975.2 Carnobacterium_maltaromaticum
GCA_000157895.2 Mycobacterium_kansasii
GCA_000186505.1 Sutterella_wadsworthensis
GCA_000209915.1 Ruminiclostridium_E_siraeum
GCA_003336925.1 Rhodococcus_B_kyotonensis_B
GCA_000261025.1 Prevotella_intermedia
GCA_000382805.1 Streptococcus_[oralis,mitis,dentisani]
GCA_000023045.1 Exiguobacterium_profundum_A
GCA_000012685.1 Myxococcus_xanthus
GCA_000479185.1 Fusobacterium_polymorphum
GCA_000440555.1 Streptococcus_suis_N
GCA_001955495.1 Paenibacillus_odorifer
GCA_000023765.2 Liberibacter_asiaticus
GCA_000147735.3 Shewanella_[baltica,sp002838165,sp002966515]
GCA_000204395.2 Clostridium_botulinum
GCA_000015005.1 Mycobacterium_smegmatis
GCA_000472745.1 Bradyrhizobium_japonicum
GCA_000214235.1 Serratia_plymuthica
GCA_018342065.1 Citrobacter_gillenii
GCA_000686465.1 Leuconostoc_pseudomesenteroides_B
GCA_000196155.1 Photorhabdus_laumondii
GCA_000184365.2 Streptococcus_anginosus_C
GCA_000463395.1 Streptococcus_constellatus
GCA_000026405.1 Leuconostoc_citreum
GCA_002082215.1 Pantoea_stewartii
GCA_000189595.1 Clostridium_Q_symbiosum
GCA_000245815.1 Dolosigranulum_pigrum
GCA_001652485.1 Ochrobactrum_A_pseudogrignonense
GCA_902771565.1 RUG420_sp900317985
GCA_000239255.1 Hafnia_paralvei
GCA_019801065.1 Ruegeria_arenilitoris
GCA_007673515.1 Staphylococcus_pasteuri_A
GCA_905208855.1 Agathobacter_faecis
GCA_000210735.1 Faecalibacterium_prausnitzii_G
GCA_903937255.1 Polynucleobacter_sp903944725
GCA_903918865.1 CAINVV01_sp903854235
GCA_902761965.1 UBA4334_sp900316505
GCA_000091305.1 Streptomyces_scabiei
GCA_005871125.1 Marivita_cryptomonadis
GCA_018368555.1 Gemmiger_formicilis
GCA_900465725.1 Phyllobacterium_sp900472835
GCA_001435315.1 Lentilactobacillus_parabuchneri
GCA_000968645.1 Salinivibrio_kushneri
GCA_000175035.1 Lactobacillus_jensenii
GCA_905208255.1 UBA11524_sp000437595
GCA_000192395.2 Mycoplasma_capricolum
GCA_000172175.1 Bacteroides_intestinalis
GCA_000227295.1 Cutibacterium_avidum
GCA_007679845.1 Agrobacterium_sp900473305
GCA_002091715.1 Pseudomonas_E_sp000282415
GCA_000225325.1 Fructilactobacillus_sanfranciscensis
GCA_000512185.1 Aeromonas_media
GCA_000263575.1 Bifidobacterium_vaginale_G
GCA_000805695.1 Empedobacter_sp002378465
GCA_000177195.2 Streptomyces_sp000177195
GCA_903923355.1 Chlorobium_sp903869365
GCA_000754805.1 Yersinia_frederiksenii_C
GCA_000168035.1 Yersinia_intermedia
GCA_001908275.1 Paenibacillus_amylolyticus
GCA_000007945.1 Haemophilus_B_ducreyi
GCA_001277805.1 Geobacillus_stearothermophilus
GCA_000760955.1 Rhodococcus_B_[sp000954115,sp002259485,sp002259405]
